"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 06 14:31:32 CST 2023","Wed Dec 06 14:31:33 CST 2023","303","TestCases.test_Services.test_Equipment_monitor.test_Report","test_report","Test_Report","","","test_listReport",""
"passed","Wed Dec 06 14:31:33 CST 2023","Wed Dec 06 14:31:34 CST 2023","1022","TestCases.test_Services.test_Equipment_monitor.test_Report","test_report","Test_Report","","","test_queryPoint",""
